"""Boarding/Alighting""","""Stop Name""","""Lat""","""Lng""","""Time"""
0,CS-18039,14.685927333333332,121.08609622222222,10:40:47
1,CS-16718,14.693183,121.070594,10:49:46
0,CS-18039,14.685927333333332,121.08609622222222,10:40:47
1,CS-17857,14.686484,121.069236,10:53:23
0,CS-18039,14.685927333333332,121.08609622222222,10:40:47
1,CS-17855,14.686462750000002,121.06722425000001,10:53:53
0,CS-18039,14.685927333333332,121.08609622222222,10:40:47
1,CS-17855,14.686462750000002,121.06722425000001,10:53:53
0,CS-18039,14.685927333333332,121.08609622222222,10:40:47
1,CS-17855,14.686462750000002,121.06722425000001,10:53:53
0,CS-17855,14.686462750000002,121.06722425000001,10:54:05
1,CS-17876,14.686492,121.085617,11:20:10
0,CS-17855,14.686462750000002,121.06722425000001,10:54:02
1,CS-18039,14.685927333333332,121.08609622222222,11:21:24
0,CS-17855,14.686462750000002,121.06722425000001,10:54:05
1,CS-18039,14.685927333333332,121.08609622222222,11:21:24
0,CS-17855,14.686462750000002,121.06722425000001,10:54:05
1,CS-18039,14.685927333333332,121.08609622222222,11:21:24
0,CS-17855,14.686462750000002,121.06722425000001,10:54:05
1,CS-18039,14.685927333333332,121.08609622222222,11:21:24