Seat,"""Origin""","""Origin Lat""","""Origin Lng""","""Origin Time""","""Destination""","""Destination Lat""","""Destination Lng""","""Destination Time"""
3,CS-18039,14.685927333333332,121.08609622222222,10:40:47,CS-16718,14.693183,121.070594,10:49:46
1,CS-18039,14.685927333333332,121.08609622222222,10:40:47,CS-17857,14.686484,121.069236,10:53:23
4,CS-18039,14.685927333333332,121.08609622222222,10:40:47,CS-17855,14.686462750000002,121.06722425000001,10:53:53
5,CS-18039,14.685927333333332,121.08609622222222,10:40:47,CS-17855,14.686462750000002,121.06722425000001,10:53:53
2,CS-18039,14.685927333333332,121.08609622222222,10:40:47,CS-17855,14.686462750000002,121.06722425000001,10:53:53
5,CS-17855,14.686462750000002,121.06722425000001,10:54:05,CS-17876,14.686492,121.085617,11:20:10
1,CS-17855,14.686462750000002,121.06722425000001,10:54:02,CS-18039,14.685927333333332,121.08609622222222,11:21:24
2,CS-17855,14.686462750000002,121.06722425000001,10:54:05,CS-18039,14.685927333333332,121.08609622222222,11:21:24
3,CS-17855,14.686462750000002,121.06722425000001,10:54:05,CS-18039,14.685927333333332,121.08609622222222,11:21:24
4,CS-17855,14.686462750000002,121.06722425000001,10:54:05,CS-18039,14.685927333333332,121.08609622222222,11:21:24